"filename", "language", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\Илья\Desktop\Bank_App\.idea\Bank_App.iml", "XML", 0, 0, 9, 0, 0, 9
"c:\Users\Илья\Desktop\Bank_App\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 8
"c:\Users\Илья\Desktop\Bank_App\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 6
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Body\Body.js", "JavaScript", 0, 33, 0, 0, 2, 35
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Body\Body.module.css", "CSS", 7, 0, 0, 0, 1, 8
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Chart\Chart.css", "CSS", 9, 0, 0, 0, 0, 9
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Chart\Chart.js", "JavaScript", 0, 20, 0, 0, 4, 24
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Chart\ChartBar.css", "CSS", 27, 0, 0, 0, 3, 30
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Chart\ChartBar.js", "JavaScript", 0, 20, 0, 0, 5, 25
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Expenses\AppExpenses.css", "CSS", 6, 0, 0, 0, 0, 6
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Expenses\AppExpenses.js", "JavaScript", 0, 27, 0, 0, 12, 39
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Expenses\ExpenseDate.css", "CSS", 23, 0, 0, 0, 3, 26
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Expenses\ExpenseDate.js", "JavaScript", 0, 14, 0, 0, 1, 15
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Expenses\ExpenseItem.css", "CSS", 47, 0, 0, 0, 6, 53
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Expenses\ExpenseItem.js", "JavaScript", 0, 18, 0, 0, 4, 22
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Expenses\ExpenseList.js", "JavaScript", 0, 21, 0, 0, 4, 25
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\Expenses\ExpensesList.css", "CSS", 10, 0, 0, 2, 1, 13
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\NewExpense\ChartExpenses.js", "JavaScript", 0, 24, 0, 0, 6, 30
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\NewExpense\ExpenseForm.css", "CSS", 23, 0, 0, 0, 5, 28
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\NewExpense\ExpensesFilter.css", "CSS", 21, 0, 0, 0, 3, 24
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\NewExpense\ExpensesFilter.js", "JavaScript", 0, 21, 0, 0, 5, 26
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\NewExpense\NewExpense.css", "CSS", 34, 0, 0, 0, 4, 38
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\UI\Card.css", "CSS", 5, 0, 0, 0, 2, 7
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Components\UI\Card.js", "JavaScript", 0, 6, 0, 0, 2, 8
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\Currency\Currency.module.css", "CSS", 1, 0, 0, 0, 0, 1
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\MarketButtons\MarketButtons.js", "JavaScript", 0, -5, 0, 0, 0, -5
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\MarketButtons\MarketButtons.module.css", "CSS", 0, 0, 0, 0, -3, -3
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\PiggyBank\PiggyBank.js", "JavaScript", 0, 7, 0, 13, 5, 25
"c:\Users\Илья\Desktop\Bank_App\Frontend\src\PiggyBank\PiggyBank.module.css", "CSS", 34, 0, 0, 0, 3, 37
"Total", "-", 247, 206, 23, 15, 78, 569